district_id,age_bin_id,gender_id,as_of_date_id,count
0,0,0,117,1384
0,0,1,117,1432
1,0,0,117,1145
1,0,1,117,1166
2,0,0,117,237
2,0,1,117,262
3,0,0,117,749
3,0,1,117,738
4,0,0,117,627
4,0,1,117,634
5,0,0,117,1001
5,0,1,117,1106
6,0,0,117,1081
6,0,1,117,1104
7,0,0,117,823
7,0,1,117,914
8,0,0,117,1466
8,0,1,117,1499
9,0,0,117,343
9,0,1,117,408
10,0,0,117,1684
10,0,1,117,1794
11,0,0,117,1430
11,0,1,117,1513
12,0,0,117,376
12,0,1,117,396
13,0,0,117,820
13,0,1,117,880
14,0,0,117,2114
14,0,1,117,2197
15,0,0,117,476
15,0,1,117,517
16,0,0,117,401
16,0,1,117,367
17,0,0,117,646
17,0,1,117,660
18,0,0,117,525
18,0,1,117,624
19,0,0,117,1287
19,0,1,117,1323
20,0,0,117,468
20,0,1,117,534
0,1,0,117,1310
0,1,1,117,1403
1,1,0,117,1070
1,1,1,117,1111
2,1,0,117,282
2,1,1,117,313
3,1,0,117,721
3,1,1,117,699
4,1,0,117,529
4,1,1,117,574
5,1,0,117,932
5,1,1,117,945
6,1,0,117,931
6,1,1,117,962
7,1,0,117,744
7,1,1,117,867
8,1,0,117,1363
8,1,1,117,1330
9,1,0,117,324
9,1,1,117,321
10,1,0,117,1678
10,1,1,117,1787
11,1,0,117,1096
11,1,1,117,1185
12,1,0,117,337
12,1,1,117,354
13,1,0,117,752
13,1,1,117,752
14,1,0,117,1759
14,1,1,117,1910
15,1,0,117,387
15,1,1,117,425
16,1,0,117,325
16,1,1,117,360
17,1,0,117,644
17,1,1,117,729
18,1,0,117,407
18,1,1,117,377
19,1,0,117,1109
19,1,1,117,1172
20,1,0,117,541
20,1,1,117,557
0,2,0,117,1892
0,2,1,117,1971
1,2,0,117,1525
1,2,1,117,1561
2,2,0,117,443
2,2,1,117,411
3,2,0,117,1009
3,2,1,117,1047
4,2,0,117,779
4,2,1,117,815
5,2,0,117,1178
5,2,1,117,1225
6,2,0,117,1212
6,2,1,117,1298
7,2,0,117,1116
7,2,1,117,1175
8,2,0,117,1588
8,2,1,117,1717
9,2,0,117,443
9,2,1,117,446
10,2,0,117,2190
10,2,1,117,2228
11,2,0,117,1302
11,2,1,117,1349
12,2,0,117,517
12,2,1,117,521
13,2,0,117,1024
13,2,1,117,989
14,2,0,117,2380
14,2,1,117,2397
15,2,0,117,582
15,2,1,117,581
16,2,0,117,485
16,2,1,117,476
17,2,0,117,979
17,2,1,117,1042
18,2,0,117,431
18,2,1,117,529
19,2,0,117,1585
19,2,1,117,1579
20,2,0,117,703
20,2,1,117,707
0,3,0,117,4306
0,3,1,117,4428
1,3,0,117,3655
1,3,1,117,3605
2,3,0,117,937
2,3,1,117,1078
3,3,0,117,2284
3,3,1,117,2251
4,3,0,117,2256
4,3,1,117,2338
5,3,0,117,3317
5,3,1,117,3140
6,3,0,117,3910
6,3,1,117,4404
7,3,0,117,3204
7,3,1,117,4584
8,3,0,117,4146
8,3,1,117,4577
9,3,0,117,1088
9,3,1,117,1340
10,3,0,117,4606
10,3,1,117,4225
11,3,0,117,4083
11,3,1,117,3697
12,3,0,117,1247
12,3,1,117,1370
13,3,0,117,2624
13,3,1,117,2870
14,3,0,117,6118
14,3,1,117,6095
15,3,0,117,2031
15,3,1,117,2137
16,3,0,117,1371
16,3,1,117,1389
17,3,0,117,2512
17,3,1,117,3053
18,3,0,117,2263
18,3,1,117,2255
19,3,0,117,4633
19,3,1,117,4402
20,3,0,117,1279
20,3,1,117,1300
0,4,0,117,9181
0,4,1,117,8373
1,4,0,117,8823
1,4,1,117,7203
2,4,0,117,2529
2,4,1,117,2211
3,4,0,117,5803
3,4,1,117,4689
4,4,0,117,5265
4,4,1,117,4338
5,4,0,117,6802
5,4,1,117,6103
6,4,0,117,7023
6,4,1,117,7890
7,4,0,117,7610
7,4,1,117,8898
8,4,0,117,9161
8,4,1,117,9603
9,4,0,117,2135
9,4,1,117,3144
10,4,0,117,9572
10,4,1,117,8152
11,4,0,117,6855
11,4,1,117,5801
12,4,0,117,2736
12,4,1,117,2585
13,4,0,117,5358
13,4,1,117,5935
14,4,0,117,11871
14,4,1,117,11780
15,4,0,117,4745
15,4,1,117,4056
16,4,0,117,2871
16,4,1,117,2392
17,4,0,117,6044
17,4,1,117,5809
18,4,0,117,3560
18,4,1,117,3195
19,4,0,117,9892
19,4,1,117,7968
20,4,0,117,3067
20,4,1,117,2658
0,5,0,117,4676
0,5,1,117,2379
1,5,0,117,4065
1,5,1,117,2329
2,5,0,117,1294
2,5,1,117,626
3,5,0,117,3990
3,5,1,117,2157
4,5,0,117,4580
4,5,1,117,1814
5,5,0,117,4260
5,5,1,117,1941
6,5,0,117,2919
6,5,1,117,1521
7,5,0,117,3494
7,5,1,117,1664
8,5,0,117,3780
8,5,1,117,1934
9,5,0,117,758
9,5,1,117,441
10,5,0,117,3272
10,5,1,117,1790
11,5,0,117,1802
11,5,1,117,929
12,5,0,117,1144
12,5,1,117,600
13,5,0,117,1875
13,5,1,117,1078
14,5,0,117,4138
14,5,1,117,2492
15,5,0,117,2552
15,5,1,117,1057
16,5,0,117,2365
16,5,1,117,1042
17,5,0,117,4951
17,5,1,117,2315
18,5,0,117,1731
18,5,1,117,819
19,5,0,117,6231
19,5,1,117,2589
20,5,0,117,1335
20,5,1,117,736
0,0,0,116,1374
0,0,1,116,1422
1,0,0,116,1129
1,0,1,116,1145
2,0,0,116,235
2,0,1,116,262
3,0,0,116,738
3,0,1,116,735
4,0,0,116,625
4,0,1,116,631
5,0,0,116,984
5,0,1,116,1086
6,0,0,116,1067
6,0,1,116,1090
7,0,0,116,811
7,0,1,116,905
8,0,0,116,1448
8,0,1,116,1475
9,0,0,116,338
9,0,1,116,407
10,0,0,116,1673
10,0,1,116,1782
11,0,0,116,1421
11,0,1,116,1497
12,0,0,116,368
12,0,1,116,395
13,0,0,116,801
13,0,1,116,872
14,0,0,116,2091
14,0,1,116,2190
15,0,0,116,464
15,0,1,116,506
16,0,0,116,395
16,0,1,116,357
17,0,0,116,646
17,0,1,116,657
18,0,0,116,520
18,0,1,116,620
19,0,0,116,1272
19,0,1,116,1312
20,0,0,116,463
20,0,1,116,532
0,1,0,116,1306
0,1,1,116,1407
1,1,0,116,1073
1,1,1,116,1104
2,1,0,116,281
2,1,1,116,312
3,1,0,116,726
3,1,1,116,701
4,1,0,116,534
4,1,1,116,579
5,1,0,116,924
5,1,1,116,939
6,1,0,116,925
6,1,1,116,951
7,1,0,116,741
7,1,1,116,871
8,1,0,116,1362
8,1,1,116,1332
9,1,0,116,324
9,1,1,116,317
10,1,0,116,1683
10,1,1,116,1784
11,1,0,116,1093
11,1,1,116,1184
12,1,0,116,339
12,1,1,116,354
13,1,0,116,751
13,1,1,116,750
14,1,0,116,1756
14,1,1,116,1912
15,1,0,116,386
15,1,1,116,424
16,1,0,116,328
16,1,1,116,358
17,1,0,116,645
17,1,1,116,733
18,1,0,116,411
18,1,1,116,377
19,1,0,116,1104
19,1,1,116,1169
20,1,0,116,537
